workload,policy,capacity,operations,threads,page_files,access_pattern,seed,repetition,dirty_resident_pages_at_start,elapsed_us,fetch,hit,miss,eviction,dirty_flush,free_frame_miss,clean_victim_selection,clean_replacement_commit,clean_replacement_cancel,dirty_victim_selection,dirty_requested_read,dirty_write_attempt,dirty_write_success,dirty_replacement_commit,dirty_replacement_cancel,physical_read_attempts,physical_read_successes,physical_read_failures,physical_write_attempts,physical_write_successes,physical_write_failures,bytes_read,bytes_written,flush_count,read_time_us,write_time_us,flush_time_us,logical_nonmutating_fetches,logical_dirty_mutations,physical_writes_per_dirty_commit,verified_pages,verification
full-pool-dirty-read,fifo,32,4096,1,1,independent,6072051097480939855,1,32,30745,4096,0,4096,4096,4096,0,0,0,0,4096,4096,4096,4096,4096,0,4096,4096,0,4096,4096,0,16777216,16777216,4096,8744,8499,107,0,4096,1.000,4128,pass
full-pool-dirty-read,fifo,32,4096,1,1,independent,6072051097480939855,2,32,30834,4096,0,4096,4096,4096,0,0,0,0,4096,4096,4096,4096,4096,0,4096,4096,0,4096,4096,0,16777216,16777216,4096,9057,8580,105,0,4096,1.000,4128,pass
full-pool-dirty-read,fifo,32,4096,1,1,independent,6072051097480939855,3,32,32627,4096,0,4096,4096,4096,0,0,0,0,4096,4096,4096,4096,4096,0,4096,4096,0,4096,4096,0,16777216,16777216,4096,9544,8968,120,0,4096,1.000,4128,pass
full-pool-dirty-read,fifo,32,4096,1,1,independent,6072051097480939855,4,32,31324,4096,0,4096,4096,4096,0,0,0,0,4096,4096,4096,4096,4096,0,4096,4096,0,4096,4096,0,16777216,16777216,4096,9476,8519,108,0,4096,1.000,4128,pass
full-pool-dirty-read,fifo,32,4096,1,1,independent,6072051097480939855,5,32,31997,4096,0,4096,4096,4096,0,0,0,0,4096,4096,4096,4096,4096,0,4096,4096,0,4096,4096,0,16777216,16777216,4096,9369,9148,123,0,4096,1.000,4128,pass
full-pool-dirty-read,fifo,32,4096,1,1,independent,6072051097480939855,6,32,31509,4096,0,4096,4096,4096,0,0,0,0,4096,4096,4096,4096,4096,0,4096,4096,0,4096,4096,0,16777216,16777216,4096,9774,8474,106,0,4096,1.000,4128,pass
full-pool-dirty-read,fifo,32,4096,1,1,independent,6072051097480939855,7,32,33013,4096,0,4096,4096,4096,0,0,0,0,4096,4096,4096,4096,4096,0,4096,4096,0,4096,4096,0,16777216,16777216,4096,9902,9394,113,0,4096,1.000,4128,pass
full-pool-dirty-read,fifo,32,4096,1,1,independent,6072051097480939855,8,32,30881,4096,0,4096,4096,4096,0,0,0,0,4096,4096,4096,4096,4096,0,4096,4096,0,4096,4096,0,16777216,16777216,4096,9023,8439,104,0,4096,1.000,4128,pass
full-pool-dirty-read,fifo,32,4096,1,1,independent,6072051097480939855,9,32,33026,4096,0,4096,4096,4096,0,0,0,0,4096,4096,4096,4096,4096,0,4096,4096,0,4096,4096,0,16777216,16777216,4096,9879,9382,107,0,4096,1.000,4128,pass
full-pool-dirty-read,fifo,32,4096,1,1,independent,6072051097480939855,10,32,32539,4096,0,4096,4096,4096,0,0,0,0,4096,4096,4096,4096,4096,0,4096,4096,0,4096,4096,0,16777216,16777216,4096,9486,8899,107,0,4096,1.000,4128,pass
