benchmark,policy,page_count,buffer_capacity,operations,seed,repetition,buffer_pool_initial_state,os_page_cache_state,device_cache_state,elapsed_us,mutation_us,flush_all_us,read_time_us,write_time_us,flush_time_us,fetch,hit,miss,hit_rate,eviction,dirty_flush,physical_read_attempts,free_frame_miss,clean_victim_selection,clean_replacement_commit,clean_replacement_cancel,dirty_victim_selection,dirty_requested_read,dirty_write_attempt,dirty_write_success,dirty_replacement_commit,dirty_replacement_cancel,physical_read_successes,physical_read_failures,physical_write_attempts,physical_write_successes,physical_write_failures,bytes_read,bytes_written,flush_count,read_logical_page_distance,write_logical_page_distance,sequential_read_count,sequential_write_count,read_operations,write_operations
sequential-read,fifo,1024,32,1024,6072051097480939855,19,empty,uncontrolled,uncontrolled,4669,4669,0,2088,0,0,1024,0,1024,0,992,0,1024,32,992,992,0,0,0,0,0,0,0,1024,0,0,0,0,4194304,0,0,1023,0,1023,0,1024,0
sequential-read,fifo,1024,32,1024,6072051097480939855,20,empty,uncontrolled,uncontrolled,4411,4411,0,1983,0,0,1024,0,1024,0,992,0,1024,32,992,992,0,0,0,0,0,0,0,1024,0,0,0,0,4194304,0,0,1023,0,1023,0,1024,0
sequential-read,fifo,1024,64,1024,6072051097480939855,1,empty,uncontrolled,uncontrolled,4740,4740,0,2184,0,0,1024,0,1024,0,960,0,1024,64,960,960,0,0,0,0,0,0,0,1024,0,0,0,0,4194304,0,0,1023,0,1023,0,1024,0
sequential-read,fifo,1024,64,1024,6072051097480939855,2,empty,uncontrolled,uncontrolled,4634,4634,0,1987,0,0,1024,0,1024,0,960,0,1024,64,960,960,0,0,0,0,0,0,0,1024,0,0,0,0,4194304,0,0,1023,0,1023,0,1024,0
sequential-read,fifo,1024,64,1024,6072051097480939855,3,empty,uncontrolled,uncontrolled,4329,4329,0,1863,0,0,1024,0,1024,0,960,0,1024,64,960,960,0,0,0,0,0,0,0,1024,0,0,0,0,4194304,0,0,1023,0,1023,0,1024,0
sequential-read,fifo,1024,64,1024,6072051097480939855,4,empty,uncontrolled,uncontrolled,4812,4812,0,2092,0,0,1024,0,1024,0,960,0,1024,64,960,960,0,0,0,0,0,0,0,1024,0,0,0,0,4194304,0,0,1023,0,1023,0,1024,0
sequential-read,fifo,1024,64,1024,6072051097480939855,5,empty,uncontrolled,uncontrolled,5401,5401,0,2254,0,0,1024,0,1024,0,960,0,1024,64,960,960,0,0,0,0,0,0,0,1024,0,0,0,0,4194304,0,0,1023,0,1023,0,1024,0
sequential-read,fifo,1024,64,1024,6072051097480939855,6,empty,uncontrolled,uncontrolled,4303,4303,0,1869,0,0,1024,0,1024,0,960,0,1024,64,960,960,0,0,0,0,0,0,0,1024,0,0,0,0,4194304,0,0,1023,0,1023,0,1024,0
sequential-read,fifo,1024,64,1024,6072051097480939855,7,empty,uncontrolled,uncontrolled,4506,4506,0,1978,0,0,1024,0,1024,0,960,0,1024,64,960,960,0,0,0,0,0,0,0,1024,0,0,0,0,4194304,0,0,1023,0,1023,0,1024,0
sequential-read,fifo,1024,64,1024,6072051097480939855,8,empty,uncontrolled,uncontrolled,4439,4439,0,1960,0,0,1024,0,1024,0,960,0,1024,64,960,960,0,0,0,0,0,0,0,1024,0,0,0,0,4194304,0,0,1023,0,1023,0,1024,0
sequential-read,fifo,1024,64,1024,6072051097480939855,9,empty,uncontrolled,uncontrolled,4642,4642,0,2052,0,0,1024,0,1024,0,960,0,1024,64,960,960,0,0,0,0,0,0,0,1024,0,0,0,0,4194304,0,0,1023,0,1023,0,1024,0
sequential-read,fifo,1024,64,1024,6072051097480939855,10,empty,uncontrolled,uncontrolled,4369,4369,0,1933,0,0,1024,0,1024,0,960,0,1024,64,960,960,0,0,0,0,0,0,0,1024,0,0,0,0,4194304,0,0,1023,0,1023,0,1024,0
sequential-read,fifo,1024,64,1024,6072051097480939855,11,empty,uncontrolled,uncontrolled,4274,4274,0,1868,0,0,1024,0,1024,0,960,0,1024,64,960,960,0,0,0,0,0,0,0,1024,0,0,0,0,4194304,0,0,1023,0,1023,0,1024,0
sequential-read,fifo,1024,64,1024,6072051097480939855,12,empty,uncontrolled,uncontrolled,4639,4639,0,2025,0,0,1024,0,1024,0,960,0,1024,64,960,960,0,0,0,0,0,0,0,1024,0,0,0,0,4194304,0,0,1023,0,1023,0,1024,0
sequential-read,fifo,1024,64,1024,6072051097480939855,13,empty,uncontrolled,uncontrolled,4349,4349,0,1940,0,0,1024,0,1024,0,960,0,1024,64,960,960,0,0,0,0,0,0,0,1024,0,0,0,0,4194304,0,0,1023,0,1023,0,1024,0
sequential-read,fifo,1024,64,1024,6072051097480939855,14,empty,uncontrolled,uncontrolled,4232,4231,0,1852,0,0,1024,0,1024,0,960,0,1024,64,960,960,0,0,0,0,0,0,0,1024,0,0,0,0,4194304,0,0,1023,0,1023,0,1024,0
