benchmark,policy,page_count,buffer_capacity,operations,seed,repetition,buffer_pool_initial_state,os_page_cache_state,device_cache_state,elapsed_us,mutation_us,flush_all_us,read_time_us,write_time_us,flush_time_us,fetch,hit,miss,hit_rate,eviction,dirty_flush,physical_read_attempts,physical_read_successes,physical_read_failures,physical_write_attempts,physical_write_successes,physical_write_failures,bytes_read,bytes_written,flush_count,read_logical_page_distance,write_logical_page_distance,sequential_read_count,sequential_write_count,read_operations,write_operations
random-read,fifo,1024,32,1024,6072051097480939855,1,empty,uncontrolled,uncontrolled,4045,4045,0,2368,0,0,1024,0,1024,0,992,0,1024,1024,0,0,0,0,4194304,0,0,341062,0,3,0,1024,0
random-read,fifo,1024,32,1024,6072051097480939855,2,empty,uncontrolled,uncontrolled,4124,4124,0,2378,0,0,1024,0,1024,0,992,0,1024,1024,0,0,0,0,4194304,0,0,341062,0,3,0,1024,0
random-read,fifo,1024,32,1024,6072051097480939855,3,empty,uncontrolled,uncontrolled,4260,4260,0,2511,0,0,1024,0,1024,0,992,0,1024,1024,0,0,0,0,4194304,0,0,341062,0,3,0,1024,0
random-read,fifo,1024,32,1024,6072051097480939855,4,empty,uncontrolled,uncontrolled,4163,4163,0,2410,0,0,1024,0,1024,0,992,0,1024,1024,0,0,0,0,4194304,0,0,341062,0,3,0,1024,0
random-read,fifo,1024,32,1024,6072051097480939855,5,empty,uncontrolled,uncontrolled,4187,4187,0,2451,0,0,1024,0,1024,0,992,0,1024,1024,0,0,0,0,4194304,0,0,341062,0,3,0,1024,0
